Product,Sulfur Content,Methane,Ethane,Ethylene,Propane,Propylene,Iso - Butane,n - Butane,Trans - Butene - 2,Butene - 1,Iso - Butene,Cis - Butene - 2,Neo - Pentane,Iso - Pentane,n - Pentane,"1,3 - Butadiene",Olefines Content
VNPZ_Mix,18,0.011,0.21,0,45.26,0,15.92,37.81,0,0,0,0,0.197,0.49,0.1,0,0
VNPZ_C4,23,0.012,0.25,0,6.62,0,41.31,51.38,0,0,0,0,0.096,0.28,0.05,0,0
PNOS_Mix,70,0.02,2.77,0,57.1,1.91,16.84,17.83,0.53,0.76,0.53,0.43,0.294,0.79,0.2,0,4.16
PNOS_C4,50,0.01,0.21,0,0.46,0.05,2.7,94.04,0.68,0.39,0.39,0.48,0.1,0.47,0.02,0,1.99
TCO_C3,18,0.01,0.25,0,97.69,0,1.56,0.49,0,0,0,0,0,0,0,0,0
TCO_C4,27,0.01,0.24,0,2.82,0,33.91,61.84,0,0,0,0,0,0.3,0.79,0.09,0.09
Sanors_C4,12,0.055,0.1,0,1.14,0,1.28,96.9,0.04,0.04,0,0,0.178,0.16,0.11,0,0.08
Sanors_Iso-C4,10.5,0.008,0.218,0,0.315,0,98.555,0.825,0,0.008,0.013,0,0.013,0.063,0.007,0,0.02
Tuymazy_C4,10,0.011,0.14,0,2.52,0,0.45,96.78,0,0,0,0,0.03,0.05,0.02,0,0
Shkapovo_C4,16.8,0,0.006,0,0.244,0,0.88,98.392,0,0,0,0,0.115,0.28,0.086,0,0
Roza_Mira_C4,10,0.1,0.62,0,6.04,0.04,34.86,57.76,0.03,0.02,0.02,0.01,0.118,0.35,0.03,0,0.12
,12.28,0.071,0.442,0,27.478,0.024,21.101,50.455,0.024,0.019,0.012,0.006,0.099,0.233,0.036,0,0.084
,,,,,,28.015,,,,,,,,,,,
